label,Account type,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Savings type,Length of current employment,Instalment per cent,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Foreign Worker
0,2,36.0,2,5,2384.0,1,2,4,3,1,1,4,33.0,3,1,1,2,1,1
1,2,12.0,4,4,1424.0,1,4,4,3,1,3,2,26.0,3,2,1,3,1,1
1,1,6.0,4,0,4716.0,5,2,1,3,1,3,1,44.0,3,2,2,2,2,1
1,2,11.0,3,3,4771.0,1,4,2,3,1,4,2,51.0,3,2,1,3,1,1
1,1,12.0,2,2,652.0,1,5,4,2,1,4,2,24.0,3,1,1,3,1,1
1,2,9.0,4,3,1154.0,1,5,2,3,1,4,1,37.0,3,2,3,2,1,1
1,4,15.0,2,0,3556.0,5,3,3,3,1,2,4,29.0,3,2,1,3,1,1
1,3,42.0,4,1,4796.0,1,5,4,3,1,4,4,56.0,3,3,1,3,1,1
1,3,30.0,4,3,3017.0,1,5,4,3,1,4,2,47.0,3,2,1,3,1,1
1,4,36.0,4,0,3535.0,1,4,4,3,1,4,3,37.0,3,2,2,3,1,1
1,4,36.0,4,0,6614.0,1,5,4,3,1,4,3,34.0,3,2,2,4,1,1
1,4,24.0,2,3,1376.0,3,4,4,2,1,1,3,28.0,3,2,1,3,1,1
1,1,15.0,2,0,1721.0,1,2,2,3,1,3,1,36.0,3,2,1,3,1,1
1,1,6.0,4,0,860.0,1,5,1,2,1,4,4,39.0,3,2,2,3,1,1
1,4,12.0,4,0,1495.0,1,5,4,3,1,1,1,38.0,3,2,2,2,2,1
1,4,12.0,4,3,1934.0,1,5,2,3,1,2,4,26.0,3,2,2,3,1,1
1,4,18.0,2,1,3378.0,5,3,2,3,1,1,2,31.0,3,2,1,3,1,1
1,4,24.0,4,1,3868.0,1,5,4,2,1,2,3,41.0,3,1,2,4,1,1
1,4,12.0,4,5,996.0,5,4,4,2,1,4,1,23.0,3,2,2,3,1,1
1,1,24.0,2,10,1755.0,1,5,4,2,3,4,1,58.0,3,2,1,2,1,1
1,4,18.0,4,0,1028.0,1,3,4,2,1,3,1,36.0,3,2,2,3,1,1
1,2,24.0,4,9,2825.0,5,4,4,3,1,3,4,34.0,3,2,2,3,2,1
1,2,18.0,2,6,1239.0,5,3,4,3,1,4,4,61.0,3,3,1,3,1,1
0,1,18.0,2,0,1216.0,1,2,4,2,1,3,3,23.0,3,1,1,3,1,1
1,4,24.0,2,9,1258.0,1,4,4,3,1,1,1,25.0,3,2,1,3,1,1
0,4,18.0,4,6,1864.0,2,3,4,2,1,2,1,30.0,3,2,2,3,1,1
1,4,24.0,2,0,1474.0,2,2,4,4,1,3,1,33.0,3,2,1,3,1,1
1,1,24.0,4,9,1382.0,2,4,4,3,1,1,1,26.0,3,2,2,3,1,1
1,4,12.0,2,0,640.0,1,3,4,1,1,2,1,49.0,3,2,1,2,1,1
1,3,36.0,2,3,3919.0,1,3,2,3,1,2,1,23.0,3,2,1,3,1,1
1,4,9.0,4,0,1224.0,1,3,3,3,1,1,1,30.0,3,2,2,3,1,1
1,4,12.0,4,3,2331.0,5,5,1,3,2,4,1,49.0,3,2,1,3,1,1
1,4,24.0,2,1,6313.0,5,5,3,3,1,4,3,41.0,3,2,1,4,2,1
1,1,12.0,4,3,385.0,1,4,4,2,1,3,1,58.0,3,2,4,2,1,1
1,4,12.0,4,3,1655.0,1,5,2,3,1,4,1,63.0,3,2,2,2,1,1
1,1,15.0,2,3,1053.0,1,2,4,4,1,2,1,27.0,3,2,1,3,1,2
1,4,21.0,2,3,3160.0,5,5,4,3,1,3,2,41.0,3,2,1,3,1,1
1,4,36.0,2,0,3079.0,5,3,4,3,1,4,1,36.0,3,2,1,3,1,1
1,4,12.0,4,0,1163.0,3,3,4,3,1,4,1,44.0,3,2,1,3,1,1
1,4,24.0,2,1,2679.0,1,2,4,2,1,1,4,29.0,3,2,1,4,1,1
1,4,42.0,4,3,3578.0,5,5,4,3,1,1,1,47.0,3,2,1,3,1,1
1,4,36.0,3,0,7882.375,1,5,2,3,1,2,3,45.0,3,2,2,3,2,1
1,1,12.0,3,0,1344.0,1,3,4,3,1,2,1,43.0,3,2,2,2,2,1
1,4,6.0,4,3,1237.0,2,3,1,2,1,1,2,27.0,3,2,2,3,1,1
1,4,12.0,2,3,3077.0,1,3,2,3,1,4,3,52.0,3,2,1,3,1,1
1,4,24.0,2,3,2284.0,1,4,4,3,1,2,3,28.0,3,2,1,3,1,1
1,2,12.0,2,3,1567.0,1,3,1,2,1,1,3,22.0,3,2,1,3,1,1
1,4,24.0,3,0,2032.0,1,5,4,3,1,4,4,60.0,3,3,2,3,1,1
1,2,21.0,4,2,2745.0,4,4,3,3,1,2,3,32.0,3,2,2,3,1,1
1,4,30.0,2,3,1867.0,5,5,4,3,1,4,3,58.0,3,2,1,3,1,1
1,4,36.0,2,3,2299.0,3,5,4,3,1,4,3,39.0,3,2,1,3,1,1
1,4,24.0,2,2,929.0,5,4,4,3,1,2,3,31.0,2,2,1,3,1,1
1,3,12.0,2,3,3399.0,5,5,2,3,1,3,3,37.0,3,2,1,4,1,1
1,2,9.0,2,2,2030.0,5,4,2,3,1,1,3,24.0,3,2,1,3,1,1
1,4,21.0,4,1,3275.0,1,5,1,3,1,4,3,36.0,3,2,1,4,1,1
1,4,24.0,4,0,1940.0,4,5,4,3,1,4,1,60.0,3,2,1,3,1,1
1,1,21.0,4,0,1602.0,1,5,4,4,1,3,3,30.0,3,2,2,3,1,1
1,4,15.0,2,3,1979.0,5,5,4,3,1,2,3,35.0,3,2,1,3,1,1
1,4,24.0,4,0,2022.0,1,3,4,2,1,4,3,37.0,3,2,1,3,1,1
1,4,36.0,4,3,3342.0,5,5,4,3,1,2,3,51.0,3,2,1,3,1,1
1,2,18.0,2,0,5866.0,2,3,2,3,1,2,3,30.0,3,2,2,3,1,1
1,3,15.0,4,1,2360.0,3,3,2,3,1,2,3,36.0,3,2,1,3,1,1
1,4,15.0,4,2,1520.0,5,5,4,3,1,4,2,63.0,3,2,1,3,1,1
1,1,12.0,2,0,3651.0,4,3,1,3,1,3,2,31.0,3,2,1,3,2,1
1,4,24.0,4,1,2346.0,1,4,4,3,1,3,3,35.0,3,2,2,3,1,1
1,4,36.0,3,3,4454.0,1,3,4,2,1,4,1,34.0,3,2,2,3,1,1
1,1,6.0,4,0,666.0,4,4,3,2,1,4,1,39.0,3,2,2,2,1,1
1,2,24.0,3,0,1965.0,5,3,4,2,1,4,3,42.0,3,1,2,3,1,1
1,2,12.0,4,0,1995.0,2,2,4,3,1,1,3,27.0,3,2,1,3,1,1
1,2,30.0,2,3,2991.0,5,5,2,2,1,4,3,25.0,3,2,1,3,1,1
1,2,30.0,0,9,4221.0,1,3,2,2,1,1,3,28.0,3,2,2,3,1,1
1,1,9.0,2,3,1364.0,1,4,3,3,1,4,1,59.0,3,2,1,3,1,1
1,2,18.0,4,2,6361.0,1,5,2,3,1,1,4,41.0,3,2,1,3,1,1
1,4,27.0,4,2,4526.0,4,2,4,3,1,2,1,32.0,2,2,2,2,2,1
1,2,12.0,4,3,3573.0,1,3,1,2,1,1,1,23.0,3,2,1,2,1,1
0,2,36.0,3,9,4455.0,1,3,2,1,1,2,1,30.0,2,2,2,4,1,1
1,1,9.0,2,2,2136.0,1,3,3,3,1,2,1,25.0,3,2,1,3,1,1
1,2,42.0,4,9,5954.0,1,4,2,2,1,1,1,41.0,1,2,2,2,1,1
1,4,24.0,4,2,3777.0,4,3,4,3,1,4,1,40.0,3,2,1,3,1,1
1,1,15.0,2,9,806.0,1,3,4,2,1,4,2,22.0,3,2,1,2,1,1
1,2,24.0,3,9,4712.0,5,3,4,3,1,2,2,34.0,1,2,2,4,1,1
1,2,36.0,3,0,7432.0,1,3,2,2,1,2,2,54.0,3,1,1,3,1,1
1,4,24.0,4,3,1851.0,1,4,4,4,3,2,3,33.0,3,2,2,3,1,1
1,4,24.0,2,0,1393.0,1,3,2,3,3,2,1,31.0,3,2,1,3,1,1
1,4,12.0,4,9,1412.0,1,3,4,2,3,2,1,29.0,3,2,2,4,1,1
1,4,18.0,2,3,1473.0,1,2,3,4,1,4,1,39.0,3,2,1,3,1,1
1,4,24.0,2,3,1533.0,1,2,4,2,1,3,3,38.0,2,2,1,3,1,1
1,4,12.0,4,6,2012.0,5,4,4,2,1,2,3,61.0,3,2,1,3,1,1
0,1,15.0,2,0,3959.0,1,3,3,2,1,2,2,29.0,3,2,1,3,1,1
1,1,6.0,2,2,428.0,1,5,2,2,1,1,2,49.0,1,2,1,3,1,1
1,2,12.0,4,0,2366.0,3,4,3,1,1,3,3,36.0,3,2,1,4,1,1
1,4,12.0,2,2,763.0,1,3,4,2,1,1,1,26.0,3,2,1,3,1,1
1,2,21.0,2,2,3976.0,5,4,2,3,1,3,3,35.0,3,2,1,3,1,1
1,2,18.0,2,0,6260.0,1,4,3,3,1,3,1,28.0,3,1,1,2,1,1
1,2,9.0,4,2,1919.0,1,4,4,3,1,3,3,35.0,3,1,1,3,1,1
1,4,24.0,2,1,2603.0,4,3,2,2,1,4,3,28.0,3,1,1,3,1,1
1,4,9.0,4,6,936.0,3,5,4,3,1,2,3,52.0,3,2,2,3,1,1
1,4,24.0,2,2,3062.0,3,5,4,3,1,3,4,32.0,3,1,1,3,1,1
1,2,36.0,2,3,4795.0,1,2,4,2,1,1,4,30.0,3,2,1,4,1,1
1,4,36.0,4,1,5842.0,1,5,2,3,1,2,2,35.0,3,2,2,3,2,1
1,2,6.0,2,3,2063.0,1,2,4,4,1,3,3,30.0,3,1,1,4,1,1
1,4,15.0,4,3,1459.0,1,3,4,2,1,2,3,43.0,3,2,1,2,1,1
1,4,15.0,2,3,1213.0,3,5,4,3,1,3,2,47.0,2,2,1,3,1,1
1,4,24.0,4,3,5103.0,1,2,3,4,1,3,4,47.0,3,3,3,3,1,1
1,4,15.0,2,4,874.0,5,2,4,2,1,1,1,24.0,3,2,1,3,1,1
1,4,6.0,2,2,2978.0,3,3,1,3,1,2,3,32.0,3,2,1,3,1,1
1,4,18.0,2,0,1820.0,1,3,2,4,1,2,2,30.0,3,2,1,4,1,1
1,4,24.0,4,3,2872.0,2,5,3,3,1,4,1,36.0,3,2,1,3,2,1
1,3,24.0,2,2,1925.0,1,3,2,3,1,2,1,26.0,3,2,1,3,1,1
1,4,18.0,2,2,2515.0,1,3,3,3,1,4,1,43.0,3,2,1,3,1,1
1,3,6.0,2,2,2116.0,1,3,2,3,1,2,1,41.0,3,2,1,3,1,1
1,4,18.0,2,3,1453.0,1,2,3,2,1,1,1,26.0,3,2,1,3,1,1
1,4,10.0,2,0,1364.0,1,3,2,2,1,4,3,64.0,3,2,1,3,1,1
1,4,6.0,2,2,1543.0,4,3,4,1,1,2,1,33.0,3,2,1,3,1,1
1,2,12.0,2,0,1318.0,4,5,4,3,1,4,1,54.0,3,2,1,3,1,1
1,1,24.0,1,0,2325.0,2,4,2,3,1,3,3,32.0,1,2,1,3,1,1
1,2,6.0,4,8,932.0,5,4,1,2,1,3,2,39.0,3,2,2,2,1,1
1,3,24.0,4,3,3148.0,5,3,3,3,1,2,3,31.0,3,2,2,3,1,1
1,4,36.0,2,3,3835.0,5,5,2,2,1,4,1,45.0,3,2,1,2,1,1
1,4,9.0,2,6,3832.0,5,5,1,3,1,4,1,64.0,3,2,1,2,1,1
1,2,24.0,2,3,5084.0,5,5,2,2,1,4,3,42.0,3,2,1,3,1,1
1,4,9.0,4,2,2406.0,1,1,2,3,1,3,3,31.0,3,2,1,4,1,1
1,4,36.0,2,3,2394.0,5,3,4,2,1,4,3,25.0,3,2,1,3,1,1
1,4,21.0,2,1,2476.0,5,5,4,3,1,4,1,46.0,3,2,1,4,1,1
1,1,24.0,2,1,2964.0,5,5,4,3,1,4,4,49.0,1,3,1,3,2,1
1,1,12.0,2,2,1262.0,5,5,2,1,1,4,2,49.0,3,2,1,2,1,1
1,4,12.0,2,9,1542.0,1,4,2,3,1,4,3,36.0,3,2,1,3,1,1
1,2,24.0,4,3,1743.0,1,5,4,3,1,2,2,48.0,3,2,2,2,1,1
1,3,12.0,1,3,409.0,4,3,3,2,1,3,1,42.0,3,1,2,3,1,1
1,4,12.0,2,3,2171.0,1,2,2,2,1,2,3,29.0,1,2,1,3,1,1
1,4,42.0,4,1,7882.375,5,4,2,3,1,1,4,35.0,3,3,2,3,1,1
1,2,24.0,2,0,3512.0,2,4,2,3,1,3,3,38.0,1,2,2,3,1,1
1,2,12.0,2,3,1158.0,3,3,3,1,1,1,3,26.0,3,2,1,3,1,1
1,4,24.0,4,3,2684.0,1,3,4,3,1,2,1,35.0,3,2,2,2,1,1
1,1,12.0,2,3,1498.0,1,3,4,2,1,1,3,23.0,1,2,1,3,1,1
1,4,30.0,4,3,5954.0,1,4,3,3,2,2,3,38.0,3,2,1,3,1,1
0,2,42.0,1,9,6416.0,1,5,4,2,1,3,4,59.0,3,1,1,3,1,1
1,2,12.0,4,2,3617.0,1,5,1,3,1,4,3,28.0,3,1,3,3,1,1
1,4,12.0,4,3,1291.0,1,3,4,2,1,2,2,35.0,3,2,2,3,1,1
1,3,24.0,4,9,1275.0,4,3,2,1,1,4,1,36.0,3,2,2,3,1,1
1,4,24.0,2,2,3972.0,1,4,2,2,1,4,2,25.0,3,1,1,3,1,1
1,4,15.0,4,2,3343.0,1,3,4,3,1,2,4,28.0,3,3,1,3,1,1
1,3,15.0,2,6,392.0,1,2,4,2,1,4,2,23.0,3,1,1,3,1,1
1,4,9.0,4,0,2134.0,1,3,4,3,1,4,3,48.0,3,2,3,3,1,1
1,4,30.0,4,3,5771.0,1,4,4,2,1,2,3,25.0,3,2,2,3,1,1
1,4,24.0,4,9,4526.0,1,3,3,3,1,2,1,64.5,3,2,1,4,1,1
1,4,15.0,4,2,2788.0,1,4,2,2,2,3,3,24.0,1,2,2,3,1,1
1,4,6.0,4,3,1382.0,1,3,1,2,1,1,3,28.0,3,2,2,3,1,1
1,3,36.0,2,3,5848.0,1,3,4,3,1,1,3,24.0,3,2,1,3,1,1
0,1,12.0,2,0,1228.0,1,3,4,2,1,2,1,24.0,3,2,1,2,1,1
1,3,12.0,2,3,1297.0,1,3,3,4,1,4,1,23.0,3,1,1,3,1,1
1,4,24.0,2,3,1552.0,1,4,3,3,1,1,3,32.0,1,2,1,3,2,1
1,4,12.0,2,3,1963.0,1,4,4,3,1,2,3,31.0,3,1,2,4,2,1
1,4,24.0,2,3,3235.0,3,5,3,1,1,2,3,36.0,3,2,1,4,1,1
1,4,24.0,4,9,4139.0,2,3,3,3,1,3,2,27.0,3,2,2,2,1,1
1,2,12.0,4,1,1804.0,2,2,3,3,1,4,2,44.0,3,2,1,3,1,1
1,4,18.0,2,9,1950.0,1,4,4,3,1,1,3,34.0,2,2,2,3,1,1
1,4,42.0,3,3,7882.375,3,4,4,3,1,1,3,37.0,3,2,1,4,1,1
1,4,9.0,2,4,1236.0,1,2,1,2,1,4,1,23.0,3,1,1,3,1,1
1,4,18.0,4,0,1055.0,1,2,4,2,1,1,2,30.0,3,2,2,3,1,1
1,1,30.0,0,9,7882.375,5,2,2,3,1,3,3,25.0,1,2,3,3,1,1
1,4,30.0,4,3,2831.0,1,3,4,2,1,2,3,33.0,3,2,1,3,1,1
1,4,9.0,2,9,1449.0,1,4,3,2,1,2,3,27.0,3,2,2,3,1,1
1,4,36.0,2,9,5742.0,2,4,2,3,1,2,3,31.0,3,2,2,3,1,1
1,4,12.0,2,0,2390.0,5,5,4,3,1,3,3,50.0,3,2,1,3,1,1
1,4,24.0,2,3,3430.0,3,5,3,3,1,2,3,31.0,3,2,1,3,2,1
1,2,36.0,2,6,2273.0,1,4,3,3,1,1,3,32.0,3,2,2,3,2,1
1,3,21.0,2,0,2923.0,2,3,1,2,1,1,3,28.0,1,2,1,4,1,1
1,4,24.0,2,3,1901.0,2,3,4,3,1,4,3,29.0,3,1,1,4,1,1
1,2,36.0,2,6,3711.0,5,3,2,4,1,2,3,27.0,3,2,1,3,1,1
1,2,42.0,2,0,7882.375,5,4,1,2,1,2,3,24.0,3,2,1,3,1,1
1,4,24.0,2,0,2255.0,5,2,4,3,1,1,2,54.0,3,2,1,3,1,1
1,4,12.0,2,3,1262.0,1,3,3,3,1,2,3,25.0,3,2,1,3,1,1
1,4,33.0,4,1,7253.0,1,4,3,3,1,2,3,35.0,3,2,2,4,1,1
1,4,6.0,4,0,6761.0,1,4,1,3,1,3,4,45.0,3,2,2,4,2,1
1,4,18.0,4,2,1817.0,1,3,4,2,1,2,4,28.0,3,2,2,3,1,1
1,4,12.0,2,3,2141.0,2,4,3,3,1,1,4,35.0,3,2,1,3,1,1
1,4,42.0,1,9,3609.0,1,3,1,2,1,1,1,27.0,2,2,1,3,1,1
1,4,30.0,2,3,2333.0,3,5,4,3,1,2,3,30.0,1,2,1,4,1,1
1,4,28.0,1,1,7824.0,5,2,3,3,3,4,1,40.0,1,1,2,3,2,1
1,3,18.0,1,3,1445.0,5,4,4,3,1,4,3,49.0,1,2,1,2,1,1
1,1,24.0,2,2,7721.0,5,2,1,2,1,2,2,30.0,3,2,1,3,1,2
1,1,21.0,2,0,3763.0,5,4,2,3,2,2,1,24.0,3,2,1,2,1,2
1,2,18.0,2,9,4439.0,1,5,1,3,2,1,1,33.0,1,2,1,4,1,1
1,1,12.0,2,3,1107.0,1,3,2,3,1,2,1,20.0,3,1,1,4,2,1
1,2,15.0,2,3,1444.0,5,2,4,3,1,1,2,23.0,3,2,1,3,1,1
1,2,42.0,1,0,7882.375,5,1,4,3,2,4,4,36.0,3,3,1,4,1,1
1,4,9.0,2,3,2753.0,2,5,3,3,2,4,3,35.0,3,2,1,3,1,1
1,3,4.0,2,0,1494.0,5,2,1,3,1,2,1,29.0,3,2,1,2,2,2
1,1,24.0,1,2,2828.0,3,3,4,3,1,4,1,22.0,2,2,1,3,1,1
1,1,24.0,1,2,2483.0,3,3,4,3,1,4,1,22.0,2,2,1,3,1,1
1,3,6.0,4,0,1299.0,1,3,1,3,1,1,1,64.5,3,2,3,1,2,2
1,2,9.0,2,0,1549.0,5,2,4,3,1,2,1,35.0,3,2,1,1,1,1
1,3,10.0,2,0,3949.0,1,2,1,3,3,1,2,37.0,3,2,1,2,2,1
1,4,10.0,2,1,2901.0,5,2,1,2,1,4,1,31.0,3,1,1,3,1,1
1,3,6.0,2,0,709.0,4,2,2,4,1,2,1,27.0,3,2,1,1,1,2
1,1,42.0,2,0,7882.375,1,2,1,2,1,1,1,35.0,3,2,1,2,1,1
1,4,10.0,2,0,1287.0,5,5,4,3,2,2,2,45.0,3,2,1,2,1,2
1,1,18.0,1,3,1940.0,1,2,3,3,2,4,4,36.0,1,3,1,4,1,1
1,3,30.0,4,3,3656.0,5,5,4,3,1,4,2,49.0,2,2,2,2,1,1
1,4,24.0,3,1,4679.0,1,4,3,3,1,3,3,35.0,3,2,2,2,1,1
1,4,27.0,3,1,7882.375,4,3,2,3,1,2,3,27.0,3,2,2,3,1,1
1,1,18.0,2,2,2659.0,4,3,4,3,1,2,3,28.0,3,2,1,3,1,1
1,4,24.0,4,3,1516.0,4,3,4,2,1,1,1,43.0,3,2,2,2,1,1
1,1,18.0,2,0,4380.0,2,3,3,3,1,4,3,35.0,3,2,1,2,2,1
1,4,14.0,3,0,802.0,1,3,4,3,1,2,3,27.0,3,2,2,2,1,1
1,4,21.0,2,9,1572.0,4,5,4,2,1,4,1,36.0,1,2,1,2,1,1
1,2,42.0,1,9,3566.0,2,4,4,3,1,2,3,30.0,3,2,1,3,1,1
1,4,24.0,2,3,1278.0,1,5,4,3,1,1,1,36.0,3,2,1,4,1,1
1,4,6.0,0,3,426.0,1,5,4,4,1,4,3,39.0,3,2,1,2,1,1
1,4,39.0,2,1,7882.375,2,5,4,3,1,2,3,45.0,3,2,1,4,1,1
1,1,30.0,2,1,3857.0,1,3,4,1,1,4,2,40.0,3,2,1,4,1,1
0,2,12.0,2,0,685.0,1,4,2,4,1,3,3,25.0,1,2,1,2,1,1
1,1,24.0,2,3,1603.0,1,5,4,2,1,4,3,55.0,3,2,1,3,1,1
1,4,21.0,2,2,2241.0,1,5,4,3,1,2,1,50.0,3,2,2,3,1,1
1,1,24.0,2,3,2384.0,1,5,4,3,1,4,1,64.0,1,1,1,2,1,1
1,4,4.0,2,2,601.0,1,2,1,2,1,3,1,23.0,3,1,1,2,2,1
1,4,39.0,2,1,2569.0,3,3,4,3,1,4,3,24.0,3,2,1,3,1,1
1,4,15.0,4,3,1316.0,3,3,2,4,1,2,2,47.0,3,2,2,2,1,1
1,4,42.0,2,0,7882.375,1,5,2,3,1,4,2,42.0,3,2,1,4,1,1
1,4,18.0,2,9,1568.0,2,3,3,2,1,4,2,24.0,3,1,1,2,1,1
1,4,18.0,4,3,629.0,3,5,4,3,1,3,2,32.0,1,2,2,4,1,1
1,4,6.0,1,3,1750.0,3,5,2,3,1,4,2,45.0,1,2,1,2,2,1
1,4,24.0,2,1,3488.0,2,4,3,2,1,4,3,23.0,3,2,1,3,1,1
1,4,18.0,4,3,1800.0,1,3,4,3,1,2,3,24.0,3,2,2,3,1,1
1,4,24.0,3,2,4151.0,2,3,2,3,1,3,2,35.0,3,2,2,3,1,1
1,2,15.0,2,5,2631.0,2,3,3,2,1,2,1,25.0,3,2,1,2,1,1
1,4,21.0,2,1,5248.0,5,3,1,3,1,3,3,26.0,3,2,1,3,1,1
1,2,18.0,3,0,2899.0,5,5,4,3,1,4,3,43.0,3,2,1,3,2,1
1,2,18.0,3,5,6204.0,1,3,2,3,1,4,1,44.0,3,2,1,2,2,1
1,4,12.0,2,3,804.0,1,5,4,3,1,4,3,38.0,3,2,1,3,1,1
1,4,36.0,2,3,3595.0,1,5,4,3,1,2,3,28.0,3,2,1,3,1,1
1,4,36.0,4,1,5711.0,4,5,4,3,1,2,3,38.0,3,2,2,4,1,1
1,3,15.0,2,9,2687.0,1,4,2,3,1,4,2,26.0,3,1,1,3,1,1
1,1,15.0,3,2,3643.0,1,5,1,2,1,4,2,27.0,3,2,2,2,1,1
1,4,10.0,4,2,2146.0,1,2,1,2,1,3,1,23.0,3,1,2,3,1,1
1,1,10.0,2,3,2315.0,1,5,3,3,1,4,1,52.0,3,2,1,2,1,1
1,4,5.0,2,9,3448.0,1,4,1,3,1,4,1,64.5,3,2,1,2,1,1
1,4,15.0,2,2,2708.0,1,2,2,3,1,3,2,27.0,1,2,2,2,1,1
1,4,11.0,4,0,1393.0,1,2,4,2,1,4,3,35.0,3,2,2,4,1,1
1,3,10.0,2,2,1275.0,1,2,4,2,1,2,2,23.0,3,2,1,3,1,1
1,4,9.0,2,2,1313.0,1,5,1,3,1,4,3,20.0,3,2,1,3,1,1
1,4,12.0,2,3,1493.0,1,2,4,2,1,3,3,34.0,3,2,1,3,2,1
1,4,22.0,2,3,2675.0,3,5,3,3,1,4,3,40.0,3,2,1,3,1,1
1,2,9.0,2,3,2118.0,1,3,2,3,1,2,1,37.0,3,2,1,2,2,1
1,4,36.0,2,0,909.0,3,5,4,3,1,4,2,36.0,3,2,1,3,1,1
1,4,12.0,4,2,1258.0,1,2,2,2,1,4,2,22.0,3,1,2,2,1,1
1,4,15.0,1,3,1569.0,2,5,4,3,1,4,3,34.0,1,2,1,2,2,1
1,4,6.0,2,1,1236.0,3,3,2,3,1,4,2,50.0,3,1,1,3,1,1
1,4,36.0,3,2,7678.0,3,4,2,2,1,4,3,40.0,3,2,2,3,1,1
1,4,6.0,2,5,660.0,3,4,2,4,1,4,1,23.0,3,1,1,2,1,1
1,4,24.0,2,2,2835.0,3,5,3,3,1,4,2,53.0,3,2,1,3,1,1
1,4,24.0,2,1,2670.0,1,5,4,3,1,4,3,35.0,3,2,1,4,1,1
1,4,12.0,1,8,3447.0,3,3,4,2,1,3,1,35.0,3,2,1,2,2,1
1,4,15.0,2,3,3568.0,1,5,4,2,1,2,3,54.0,1,1,1,4,1,1
1,2,21.0,4,9,3652.0,1,4,2,3,1,3,2,27.0,3,2,2,3,1,1
1,1,24.0,2,3,3660.0,1,3,2,2,1,4,3,28.0,3,2,1,3,1,1
1,3,9.0,2,3,1126.0,2,5,2,1,1,4,1,49.0,3,2,1,3,1,1
1,3,6.0,3,3,683.0,1,2,2,2,1,1,2,29.0,1,2,1,3,1,1
1,3,12.0,2,2,2251.0,1,3,1,2,1,2,3,46.0,3,2,1,2,1,1
1,4,12.0,2,1,4675.0,5,2,1,2,1,4,3,20.0,3,1,1,3,1,1
1,2,21.0,3,0,2353.0,1,3,1,1,1,4,2,47.0,3,2,2,3,1,1
1,1,21.0,2,3,3357.0,4,2,4,2,1,2,3,29.0,1,2,1,3,1,1
1,4,6.0,2,0,672.0,1,1,1,2,1,4,1,54.0,3,2,1,1,1,1
1,1,6.0,4,3,338.0,3,5,4,3,1,4,3,52.0,3,2,2,3,1,1
1,4,9.0,2,3,2697.0,1,3,1,3,1,2,1,32.0,3,2,1,3,2,1
1,4,9.0,2,0,2507.0,3,5,2,3,1,4,4,51.0,3,3,1,2,1,1
1,4,15.0,3,3,1478.0,1,3,4,4,1,3,1,33.0,1,2,2,3,1,1
1,4,12.0,4,6,3565.0,5,2,2,3,1,1,2,37.0,3,2,2,2,2,1
1,4,15.0,2,2,2221.0,3,3,2,2,1,4,3,20.0,3,1,1,3,1,1
